Make,Year,Model,Base Price,Dest. Charge,Tax Credit,Effective Price,Drive,Battery (kWh),EPA Range,0-60 mph (sec),Top Speed
Audi,2021,2021 Audi e-tron,"$65,900 ","$1,095 ","$7,500 ","$59,495 ",AWD,95,222 mi,5.5,124 mph
Audi,2021,2021 Audi e-tron Sportback,"$69,100 ","$1,045 ","$7,500 ","$62,645 ",AWD,95,218 mi,5.5,124 mph
BMW,2021,2021 BMW i3,"$44,450 ",$995 ,"$7,500 ","$37,945 ",RWD,42.2,153 mi,7.2,93 mph
BMW,2021,2021 BMW i3s,"$47,650 ",$995 ,"$7,500 ","$41,145 ",RWD,42.2,153 mi,6.8,100 mph
Chevrolet,2022,2022 Chevrolet Bolt EV,"$31,000 ",$995 ,N/A,"$31,995 ",FWD,65,259 mi,6.5,0
Chevrolet,2022,2022 Chevrolet Bolt EUV,"$33,000 ",$995 ,N/A,"$33,995 ",FWD,65,247 mi,7,0
Ford,2021,2021 Ford Mustang Mach-E Select SR RWD,"$42,895 ","$1,100 ","$7,500 ","$36,495 ",RWD,75.7,230 mi,5.8,0
Ford,2021,2021 Ford Mustang Mach-E Select SR AWD,"$45,595 ","$1,100 ","$7,500 ","$39,195 ",AWD,75.7,211 mi,5.2,0
Ford,2021,2021 Ford Mustang Mach-E Route 1 ER RWD,"$50,400 ","$1,100 ","$7,500 ","$44,000 ",RWD,98.8,305 mi,6.1,0
Ford,2021,2021 Ford Mustang Mach-E Premium ER RWD,"$52,600 ","$1,100 ","$7,500 ","$46,200 ",RWD,98.8,300 mi,6.1,0
Ford,2021,2021 Ford Mustang Mach-E Premium ER AWD,"$55,300 ","$1,100 ","$7,500 ","$48,900 ",AWD,98.8,270 mi,4.8,0
Ford,2021,2021 Ford Mustang Mach-E GT ER AWD,"$59,900 ","$1,100 ","$7,500 ","$53,500 ",AWD,98.8,250 mi,3.8,0
Ford,2021,2021 Ford Mustang Mach-E GT Perf. ER AWD,"$64,900 ","$1,100 ","$7,500 ","$58,500 ",AWD,98.8,235 mi,3.5,0
