Make,Year,Model,Base Price,Dest. Charge,Tax Credit,Effective Price,Drive,Battery (kWh),EPA EV Range,EPA Total Range,0-60 mph (sec)
Audi,2021,2021 Audi A7 55 TFSI e quattro,"$74,900 ","$1,045 ","$6,712 ","$69,233 ",AWD,14.1,24 mi,440 mi,5.7
Audi,2021,2021 Audi A8 L 60 TFSI e quattro,"$95,900 ","$1,045 ","$6,712 ","$90,233 ",AWD,14.1,18 mi,420 mi,4.9
Audi,2021,2021 Audi Q5 55 TFSI e quattro,"$51,900 ","$1,095 ","$6,712 ","$46,283 ",AWD,14.1,19 mi,400 mi,5
Bentley,2021,2021 Bentley Bentayga Hybrid,,,"$7,500 ",,AWD,17.3,17 mi,390 mi,5.2
BMW,2021,2021 BMW 330e,"$44,550 ",$995 ,"$5,836 ","$39,709 ",RWD,12,22 mi,320 mi,5.6
BMW,2021,2021 BMW 330e xDrive,"$46,550 ",$995 ,"$5,836 ","$41,709 ",AWD,12,20 mi,290 mi,5.7
BMW,2021,2021 BMW 530e,"$57,200 ",$995 ,"$5,836 ","$52,359 ",RWD,12,21 mi,340 mi,5.9
BMW,2021,2021 BMW 530e xDrive,"$59,500 ",$995 ,"$5,836 ","$54,659 ",AWD,12,18 mi,320 mi,5.9
BMW,2021,2021 BMW 745e xDrive,"$95,900 ",$995 ,"$5,836 ","$91,059 ",AWD,12,16 mi,290 mi,4.9
BMW,2021,2021 BMW i3 REx,"$48,300 ",$995 ,"$7,500 ","$41,795 ",RWD,42.2,123 mi,200 mi,8
BMW,2021,2021 BMW i3s REx,"$51,500 ",$995 ,"$7,500 ","$44,995 ",RWD,42.2,123 mi,200 mi,7.6
BMW,2021,2021 BMW X3 xDrive30e,"$49,600 ",$995 ,"$5,836 ","$44,759 ",AWD,12,17 mi,340 mi,5.9
BMW,2021,2021 BMW X5 xDrive45e,"$65,400 ",$995 ,"$7,500 ","$58,895 ",AWD,21.6,30 mi,400 mi,5.3
Chrysler,2021,2021 Chrysler Pacifica Hybrid,"$40,295 ","$1,495 ","$7,500 ","$34,290 ",FWD,16,32 mi,520 mi,0
Ferrari,2021,2021 Ferrari SF90 Stradale,,,"$3,501 ",,AWD,7.9,8 mi,330 mi,2.5
Ford,2021,2021 Ford Escape PHEV,"$32,650 ","$1,245 ","$6,843 ","$27,052 ",FWD,14.4,37 mi,520 mi,0
Ford,2020,2020 Ford Fusion Energi - Titanium,"$35,000 ","$1,195 ","$4,609 ","$31,586 ",FWD,9,26 mi,610 mi,0
Honda,2020,2020 Honda Clarity Plug-in Hybrid,"$33,400 ",$955 ,"$7,500 ","$26,855 ",FWD,17,47 mi,340 mi,0
Hyundai,2021,2021 Hyundai IONIQ Plug-in Hybrid,"$26,700 ","$1,005 ","$4,543 ","$23,162 ",FWD,8.9,29 mi,620 mi,0
Hyundai,2022,2022 Hyundai Santa Fe PHEV,,,"$6,587 ",,AWD,13.8,30 mi,440 mi,0
Hyundai,2022,2022 Hyundai Tucson PHEV,,,"$6,587 ",,AWD,13.8,32 mi,0,0
Jeep,2021,2021 Jeep Wrangler 4xe,"$47,995 ","$1,495 ","$7,500 ","$41,990 ",AWD,17,21 mi,370 mi,6
